sk_date,bk_product,idx_value
20060517,000905,1318.966
20060517,000906,1322.022
20060517,CCFI,1689.7623
20060517,h11001,113.3
20060518,000300,1331.201
20060518,000852,1121.476
20060518,000905,1328.206
20060518,000906,1321.515
20060518,CCFI,1627.6513
20060518,h11001,113.3
20060519,000300,1366.097
20060519,000852,1153.64
20060519,000905,1365.647
20060519,000906,1356.893
20060519,CCFI,1595.6697
20060519,h11001,113.34
20060522,000300,1373.674
20060522,000852,1183.699
20060522,000905,1386.748
20060522,000906,1368.21
20060522,CCFI,1545.0438
20060522,h11001,113.3
20060523,000300,1317.654
20060523,000852,1138.819
20060523,000905,1326.156
20060523,000906,1311.281
20060523,CCFI,1510.3905
20060523,h11001,113.33
20060524,000300,1308.242
20060524,000852,1119.437
20060524,000905,1308.693
20060524,000906,1299.675
20060524,CCFI,1565.0906
20060524,h11001,113.39
20060525,000300,1307.697
20060525,000852,1140.351
20060525,000905,1324.919
20060525,000906,1303.828
20060525,CCFI,1551.95
20060525,h11001,113.42
20060526,000300,1331.02
20060526,000852,1170.277
20060526,000905,1355.501
20060526,000906,1329.029
20060526,CCFI,1572.04
20060526,h11001,113.39
20060529,000300,1366.292
20060529,000852,1198.812
20060529,000905,1387.524
20060529,000906,1363.156
20060529,CCFI,1612.1888
20060529,h11001,113.34
20060530,000300,1378.756
20060530,000852,1218.733
20060530,000905,1410.542
20060530,000906,1378.493
20060530,CCFI,1613.552
20060530,h11001,113.4
20060531,000300,1365.451
20060531,000852,1224.025
20060531,000905,1402.332
20060531,000906,1366.703
20060531,CCFI,1559.1473
20060531,h11001,113.35
20060601,000300,1402.879
20060601,000852,1278.241
20060601,000905,1455.741
20060601,000906,1408.353
20060601,CCFI,1503.1174
20060601,h11001,113.28
20060602,000300,1390.116
20060602,000852,1287.824
20060602,000905,1457.763
20060602,000906,1399.812
20060602,CCFI,1505.1649
20060602,h11001,113.17
20060605,000300,1403.163
20060605,000852,1323.452
20060605,000905,1484.29
20060605,000906,1416.543
20060605,CCFI,1541.3421
20060605,h11001,113.17
20060606,000300,1399.142
20060606,000852,1322.521
20060606,000905,1470.449
20060606,000906,1409.803
20060606,CCFI,1493.7644
20060606,h11001,113.06
20060607,000300,1320.233
20060607,000852,1244.919
20060607,000905,1370.809
20060607,000906,1325.619
20060607,CCFI,1463.2737
20060607,h11001,113.09
20060608,000300,1325.979
20060608,000852,1242.221
20060608,000905,1376.079
20060608,000906,1331.193
20060608,CCFI,1476.8029
20060608,h11001,113.05
20060609,000300,1294.185
20060609,000852,1214.086
20060609,000905,1346.481
20060609,000906,1300.224
20060609,CCFI,1442.7327
20060609,h11001,112.94
20060612,000300,1297.67
20060612,000852,1211.76
20060612,000905,1352.582
20060612,000906,1304.417
20060612,CCFI,1394.2478
20060612,h11001,112.94
20060613,000300,1298.276
20060613,000852,1220.087
20060613,000905,1361.526
20060613,000906,1307.348
20060613,CCFI,1332.1853
20060613,h11001,112.88
